,Complaint,Complaint Catagory
698,Lack Of Reasonable Infrastructure Close To Town,Other
699,Comcast Throttling Speeds,Internet
700,Comcast,Other
701,Comcast Throttling My Internet,Internet
702,Un Able To Access My Email Address After Relocae To A New Address,Internet
703,Internet Speed Issues With Comcast And Picture Freezing Issues When Watching Tv,Internet
704,Systemic Failures With Comcast,Other
705,Comcast/Xfinity,Other
706,Comcast Internet And Lack Of Communication And Response,Internet
707,Billing Issues,Billing
708,Comcast Knowingly Over Billed,Billing
709,Horrible/Unacceptable Service Of Comcast,Network
710,Comcast Overcharge,Billing
711,Deceptive Trade,Other
712,Comcast Demanding Payment After Cancellation,Billing
713,No Internet,Internet
714,Xfinity Promise To Pay Me $300 To Join,Billing
715,Comcast Issues,Other
716,Internet Provider Data Thresholds,Internet
717,Comcast Cable,Internet
718,Comcast Data Cap,Network
719,Comcast Data Caps,Network
720,Comcast,Other
721,Comcast Data Cap,Network
722,Routine Outages / Speeds Never As Promised,Internet
723,Comcast Business Keeps Moving My Same-Day Trouble Appointment To The Next Day,Other
724,Comcast Cable Company,Internet
725,Comcast Billing,Billing
726,Lack Of Hbo Go Availability On Sony Devices With Xfinity Subscription,Internet
727,Overcharged $30 Per Month For 10 Months Straight,Billing
728,Raising My Rate,Billing
729,Unfair Comcast Billing,Billing
730,Comcast Fradulently Gets Contract Signed By My Wife,Billing
731,Comcast Charging Me Unrelated Charges,Billing
732,Ridiculous Charges,Billing
733,Complaint Against Comcast,Grievance
734,Arbitrary Price Increase,Billing
735,Comcast Billing Complaint,Billing
736,Internet Speed Deteriation,Internet
737,Internet Speed On Wireless Connection,Internet
738,Internet,Internet
739,Intermittent Internet,Internet
740,Deceptive Trade,Other
741,Improper Billing And Non Resolution Of Issues,Billing
742,Lost Emails/Billing,Billing
743,"Comcast/Xfinity Poor Service, Fraudulent Billing And Collection",Billing
744,Monthly Data Caps,Network
745,Comcast Data Charges,Billing
746,Inability To Get Access To Internet Through Comcast Or At&T,Internet
747,Paying For An Upgrade That Never Took Place,Billing
748,"Bill Issues, Internet And Disability Comcast Prices",Internet
749,Not Receiving Advertised Speed,Internet
750,Xfinity Internet Speed,Internet
751,Comcast Billing,Billing
752,Nightly Service Interruption,Network
753,Netflix Is Slow,Other
754,Comcast Wont Service My Address,Network
755,Cannot Access My Email Or Service At All,Internet
756,Xfinity/Comcast Service,Network
757,Unclear Policies,Other
758,300Gb/Month Data Cap,Network
759,Comcast/Xfinity- Paying For High Speed Service,Internet
760,Comcast/Xfinity- Paying For High Speed Service,Internet
761,Overage Charges,Billing
762,Comcast Internet And Cable Deals,Internet
763,Comcast Bundle Billing,Billing
764,Comcast Internet Speed/Quality Of Service And Price,Internet
765,Internet Bundled With Tv,Internet
766,Consistent Speed/Connectivity With Internet,Internet
767,Comcast Is Ignoring Me Now. They Are Making No Attempt To Correct Problems,Other
768,Data Caps,Network
769,N/A (B) (6),Other
770,Unfair Billing Practices,Billing
771,Comcast Bundle Price,Billing
772,Wrongful Billing - Repeated Since December 2013,Billing
773,Comcast Has Charged Me Invalid Fee'S And Wont Re-Imburse Me For Them.,Billing
774,Comcast/Xfinity Service,Network
775,Comcast Bundled,Other
776,Somewhat Threatening Phone Calls,Other
777,Data Cap Overages,Network
778,Internet Virus Pop Up Scam Claiming To Be With Comcast,Internet
779,Intermittent Internet Connection,Internet
780,Raised My Bill And Told Me To Lower It Back To What It Was I Would Have To Make A 24 Month Agreement,Billing
781,Comcast,Other
782,Comcast Internet,Internet
783,Comcast,Other
784,Issues With Comcast Customer Service Due To Loss Of Internet,Internet
785,Speeds Being Throttled.,Internet
786,Internet Essentials For Low Income Families,Internet
787,Hearsts Magazine Contest Scam,Other
788,Comcast,Other
789,Comcast,Other
790,Comcast Internet Service,Internet
791,Comcast Bundles,Other
792,Comcast Fraud?,Other
793,Comcast Surprise Increase In Charges,Billing
794,Internet Problems,Internet
795,Comcast Rrefund Owing To Us Since 3/12/2015,Other
796,Still Overcharged,Billing
797,Charged For Speeds They Can Not Provide,Internet
798,Comcast Deception,Other
799,Comcast - Slow Down Imternet Speed,Internet
800,Data Caps,Network
801,Comcast Billing Complaint,Billing
802,Frequent Interruptions,Other
803,Comcast Overbilling,Billing
804,Throttling By Comcast/Xfinity,Internet
805,No Internet Last 4 Days Even After More Than 10 Calls And Spending 10 Hours With Comcast On Phone,Internet
806,Comcast Slamming/Overcharge/,Billing
807,Speeds Received Are Not As Advertised,Internet
808,Comcast Throttling Speeds,Internet
809,Comcast Billing,Billing
810,Fraudulent Billing By Comcast,Billing
811,Comcast Throttling,Internet
812,Throttle Of My Internet Access Speeds By Comcast,Internet
813,Comcast Overcharge For Internet Service For Over One Year,Internet
814,"Not Receiving Refund Of Service From Comcast, For Over 90 Days",Network
815,Unfair And Deceptive Trade Practices,Other
816,Comcast Bill Internet Usage,Internet
817,Comcast Data Cap,Network
818,Over Billing Issues,Billing
819,Comcast Billing Practices,Billing
820,High Payment,Billing
821,Comcast Support,Network
822,Comcast Internet/Cable Contacted Them Over The Phone And Chat,Internet
823,Comcast Usage Data Plan,Network
824,Comcast Data Usage Cap/Limit,Network
825,Cable,Internet
826,Charges,Billing
827,Comcast Data Caps,Network
828,Comcast Data Usage Cap,Network
829,Comcast Keeps Charging For Me For Over The Limit Internet - When Says We Have Unlimited,Internet
830,Data Overage Charges,Billing
831,No Internet,Internet
832,Continues Services Interruptions Causing Losses To My Business,Network
833,Comcast Blocking Services,Network
834,Fake Charges,Billing
835,Billing Issues/Service Issues,Billing
836,Comcast Charging Fee Without Warning,Billing
837,Comcast Service Levels,Network
838,One Sided Contracts,Billing
839,Comcast Fraudulent Charges,Billing
840,Comcast Data Useage Caps And Charges,Billing
841,Comcast Cable Unauthorized Charges,Internet
842,Comcast Cable Unauthorized Charges,Internet
843,Comcast Fraudulent Pricing And Practices,Billing
844,Comcast And Competition,Other
845,Comcast/Earthlink,Other
846,Speed Throttling,Internet
847,Charged Double/Speeds Throttled,Internet
848,Comcast Rate Hike,Billing
849,Internet Speed,Internet
850,Comcast Xfinity,Other
851,Internet Cable Alarm,Internet
852,Phone Internet Cable Alarm,Internet
853,Comcast Service Overcharge For Internet And Phone,Internet
854,Billing And Internet Connection,Internet
855,Comcast Internet Price High,Internet
856,Comcast,Other
857,Comcast Refuses To Service Address,Network
858,Overcharge/ Promo End,Billing
859,"Hang-Ups, Lies, Bill More Than 2X Higher & More",Billing
860,Lies And Deception,Other
861,Comcast Refuses To Refund Deposit According To Initial Terms,Other
862,Comcast Data Caps,Network
863,Data Cap,Network
864,Comcast Contract Problem,Billing
865,Intermittent Service,Network
866,Comcast-Overcharges,Billing
867,Comcast,Other
868,Monthly Bill,Billing
869,"Deceptive Business Practice With ""Service Protection Plan""",Network
870,Billing Error,Billing
871,Unreliable Service,Network
872,Billing And Threats,Billing
873,Horrible Internet Speed Not What I Pay For,Internet
874,Comcast Service Failure,Network
875,Incomplete Billing Cycle,Billing
876,Internet System Reliability,Internet
877,Faulty Bill For More Profit,Billing
878,Comcast - Overcharging/Unnecessary Charges,Billing
879,Throttling By Comcast,Internet
880,Billed For Internet Service That Was Never Installed,Internet
881,Billing And New Account Issues,Billing
882,Comcast High Prices And Throttling Speeds,Internet
883,Comcast Predatory Pricing Forcing Purchase Of Cable.,Internet
884,Comcast Billing,Billing
885,Speed/Pricing,Internet
886,Comcast Internet Slow,Internet
887,The Monthly Bill For My Internet Service Has Become Too Expensive.,Internet
888,Throttling,Internet
889,Comcast Internet Service Complaint,Internet
890,"Poor Quality Service, Multiple Disconnections Prior To Disconnect Date And After I Have Made Payments Still Got Disconnected Multiple Times",Internet
891,Comcast,Other
892,"Being Lied To, And Mislead By Comcast / Xfinity",Other
893,Internet Connection Not Available,Internet
894,Comcast Service Issues,Network
895,Comcast Bundles Useless Services To Charge More.,Billing
896,Comcast Failed To Deliver Service That Was Advertised,Network
897,"Comcast Wont Honor Discount, Bill Higher Than What Was Agreed",Billing
898,"Poor Customer Service, Terrible Internet Speeds, Prices Are Way Too High.",Internet
899,Comcast Bundle Promotion Bait And Switch,Network
900,Comcast Internet Service Large Increases & Improper Billings On Promtions For One Yr,Internet
901,Comcast Refused To Install Internet,Internet
902,Text On Facebook,Other
903,Comcast (Customer.Xfinity.Com),Network
904,"Low Internet Speed Complaint Against Comcast Xfinity Houston, Texas",Internet
905,Billing And False Advertising,Billing
906,Comcast Charging Service Fee To Customer--Customer Didn'T Cause Issue,Billing
907,Comcast,Other
908,Unable To Get In Touch With Anyone That Has The Power To Cancel My Services,Network
909,Comcast'S Data Caps Are Anti-Consumer.,Network
910,Hbogo On Ps4,Other
911,Throttled Speed During Peak Hours,Internet
912,Customer Service Lied About Extra Fees,Billing
913,Xfinity Data Cap,Network
914,Comcast Services,Network
915,"Charged For Activation Kit That Was Never Sent, Needed Or Used",Billing
916,Adding Services Not Requested And Increasing Fees Without Notification.,Billing
917,Renewed Contract Without My Permission Or Consent,Billing
918,"Ongoing Issue With Bill, Supervisors, Issue Not Fixed",Billing
919,Comcast,Other
920,Comcast Failure To Provide Adequate Service,Network
921,Assessing Unjustified Late Fees,Billing
922,Unable To Fully Use Services And High Bills,Billing
923,Comcast,Other
924,Comcast In Indianapolis Scam,Other
925,Comcast Billing,Billing
926,Comcast Customer Care ( Racism),Network
927,Comcast Customer Care ( Racism),Network
928,Internet And Service,Internet
929,Hbo Shouldn'T Have A Load Time,Other
930,Comcast Customer Service Agents Lie About Offers To Switch,Network
931,Comcast Technical/Customer Service And Billing Problems,Billing
932,Comcast/Xfinity Internet Gouging,Internet
933,Pricing Problems Even After Promises,Billing
934,Comcast Business Services-Email Accounts,Network
935,Keep Getting Charged For Modem Rental And I Bought My Own 7 Months Ago!,Internet
936,Comcast Billing,Billing
937,Internet Service Provider Comcast Harassing Me To Return Equipment I Already Returned,Internet
938,Comcast Service,Network
939,Throttling,Internet
940,Continued Calls From Comcast,Other
941,Installation,Other
942,Comcast/Xfinity,Other
943,Internet Being Throttled By Comcast,Internet
944,"Service Connection Issues, Increased Billing, Bad Service, Unfair Trade Practices",Internet
945,Comcast - Virtually No Service Since October 2014,Network
946,Recurring Billing Discrepancy Regarding Modem,Internet
947,Comcast Data Usage Robbing Us,Network
948,False Advertising And Overcharging,Billing
949,Xfinity Internet,Internet
950,Overcharged/Excessive Bill,Billing
951,Internet Fraud,Internet
952,"Comcast Internet Provider-Jacksonville, Florida",Internet
953,Internet Service Changes Between Comcast Business & Comcast Residential,Internet
954,Cannot Access Onlinebilling Account To Pay Bill. Account Info Changed Without Authorization,Internet
955,Continued Issue,Other
956,Internet Only Deal,Internet
957,Customer Service From Comcast,Network
958,Comcast Service Billing,Billing
959,Comcast Speed Issue After Evening,Internet
960,Comcast Has Not Applied Credit Of Close To $400,Billing
961,Comcast Complaint,Grievance
962,Monopoly & Fraudulent Broadband Speedtest Results,Internet
963,Comcast Refuses To Serve My Address,Other
964,Customer Service Nightmare,Network
965,Commercial Property Damage,Other
966,Non Working Service With Comcast,Network
967,Issue With Internet Service,Internet
968,Comcast Cable Tv,Internet
969,Complaints About Comcast,Grievance
970,Comcast,Other
971,Comcast Becoming A Hassle,Other
972,Comcast,Other
973,Fraud,Other
974,Comcast Customer Service,Network
975,Comcast Internet Services And Customer Service Is Horrible,Internet
976,Loss Of Internet Connection,Internet
977,Internat Essential,Other
978,Lack Of Service And Misleading Promises,Network
979,Comcast Service,Network
980,Comcast Internet Complaint,Internet
981,Comcast Services Not Working,Network
982,Comcast Charging Ridiculous Prices,Billing
983,Comcast Internet Service,Internet
984,Comcast Internet Performance,Internet
985,Comcast Internet Claiming 25 Mbps Internet But I Get Only 3 Mbps And Customer Service Representative Hung Up Call Repeateadly,Internet
986,Long Term Billing Issue With Rude Customer Service Caused Depression And Trauma,Billing
987,Comcast Incorrect And Confusing Billing,Billing
988,Data Caps & Monthly Prices,Billing
989,"Installation Request - New Subdivision - Jesup, Ga",Other
990,Comcast Grievance,Other
991,"Comcast -Exfinity Customer Service Errors, Lies And Wasted Time",Network
992,"Comcast -Exfinity Customer Service Errors, Lies And Wasted Time",Network
993,Comcast Very Bad /Rude Customer Service,Network
994,Billing Dispute,Internet
995,Comcast Cable,Internet
996,Lied To!!! Now I'M Suffering?!?! And At A Loss!!!,Other
997,Cyber Bulling,Other
998,Comcast Service,Network
999,Comcast Business,Other
1000,Service Complaint,Network
1001,Comcast E-Mail Issues,Other
1002,Comcast Slamming With Fees,Billing
1003,Fraudulent Charges,Billing
1004,Comcast Billing,Billing
1005,Monopoly,Other
1006,Comcast Billing Has Caused Issues,Billing
1007,Business Practices And Customer Treatment,Network
1008,Xfinity Not Providing Service In My Portion Of The Neighborhood,Network
1009,Comcast Customer Service And Billing Service,Billing
1010,Not Receiving The Speeds Promised And The Charges Are Too High.,Internet
1011,"Internet Bill Goes Up With No Cable ""Bundle""",Internet
1012,Significant Quality Loss,Other
1013,Customer Services,Network
1014,Unfair Billing Practices,Billing
1015,Service Issues,Network
1016,Xfinity Throttling My Connection,Internet
1017,Service Down For 25 Days But Was Never Credit It For It,Network
1018,"Comcast Home Business Service - Fc Consulting, Llc",Network
1019,Being Charged For Modem That Was Returned Over 1 Year Ago,Internet
1020,Comcast Data Cap,Network
1021,Comcast'S Pricing And Bundling Model Is A Monopolized Extortion In My Area,Billing
1022,Comcast Forcing Me To Pay Same Rate For Lower Speed,Internet
1023,Speeds Lower Than Advertised,Internet
1024,Comcast Data Cap Of 300Gb,Network
1025,Data Cap,Network
1026,Comcast Online Access,Internet
1027,Availabilty,Network
1028,Wireless Internet,Internet
1029,No Access To Hbo Go On Playstation 4 Through Comcast,Internet
1030,Very Frequent Service Outages With Comcast Internet,Internet
1031,Ongoing Serious And Cotinued Internet Service Outages,Internet
1032,"Internet Problems, Billing And Service",Internet
1033,Comcast Blocking Hbo Go On Sony Playstation Devices,Other
1035,Continued Slowness For More Than 2 Weeks,Other
1036,Continued Slowness For Almost 3 Weeks,Other
1037,Continued Slowness For Almost 3 Weeks,Other
1038,Comcast'S Constant Manipulation Of Bills,Internet
1039,False Advertising / Bait & Switch,Network
1040,False Advertisement For Paid Service,Network
1041,Comcast Internet,Internet
1042,Comcast Internet And Tv False Information And False Price,Internet
1043,Comcast Data Cap / Interference With Free Market,Network
1044,Inhome Service Visit Charged When The Problem Was Outside Of My Apartment,Billing
1045,Comcast Internet/Cable Tv Package,Internet
1046,Comcast Internet Overage Charges,Internet
1047,Unauthorized Charge On Comcast Bill,Billing
1048,Data Caps By Comcast,Network
1049,Comcast High Speed Internet,Internet
1050,Fradulant Charges Against Credit Report,Billing
1051,Comcast Data Caps,Network
1052,Comcast Data Caps,Network
1053,Comcast Data Caps,Network
1054,Comcast Home Data Usage Cap,Network
1055,Unable To Obtain Residential Service,Network
1056,Bandwidth Caps.,Network
1057,Local Monopoly,Other
1058,Comcast Data Plan,Network
1059,Comcast Isp Oio Violation,Internet
1060,Comcast Data Cap,Network
1061,Comcast Intrnet,Other
1062,Refusal To Prorate For Services Not Recieved,Billing
1063,Comcast Data Caps,Network
1064,Data Soft Cap And Charges From Comcast,Billing
1065,Comcast Speed And Cap Misinformation,Internet
1066,Comcast Excessive Overages,Other
1067,Comcast Data Caps For Home Internet Service,Internet
1068,Comcast,Other
1069,Comcast Monthly Data Usage Cap,Network
1070,Comcast Data Limits And Overage Charges,Billing
1071,Comcast Data Use Caps,Network
1072,Data Caps,Network
1073,Service Out/No Customer Service Provided,Network
1074,Comcast Data Usage,Network
1075,Forced Data Capping,Network
1076,Comcast Costs,Billing
1077,Unfair Billing Practices,Billing
1078,Request To Transfer E-Mail Account From Comcast.,Other
1079,Comcast Data Cap,Network
1080,Complaint Against Comcast/Infinity,Grievance
1081,Complaint About Service Provided By Comcast/Xfinity,Network
1082,Problems With Comcast,Other
1083,Service Provided Is Not What Was Promised,Network
1084,Email Account Removed,Email
1085,Internet,Internet
1086,Billing Fraud By Comcast,Billing
1087,Comcast,Other
1088,Internet Availability For Students,Internet
1089,Billing,Billing
1090,Comcast Internet,Internet
1091,Comcast Internet Billing,Internet
1092,Inability To Call 911 Service During A Power Outage,Network
1093,Comcast Monopoly Hurting My Business,Other
1094,Comcast-Billing,Billing
1095,Internet Speed Not As Advertised,Internet
1096,Underhanded Sales Techniques,Other
1097,Comcast Internet,Internet
1098,Internet/Phone Billing Services,Internet
1099,Fraudulent Billing Practice,Billing
1100,Not Receiving Network Speed As Advertised,Internet
1101,Internet Speed/Service,Internet
1102,Comcast Not Honoring Agreement,Other
1103,Falsified Unreturned Equipment Fees,Internet
1104,Slow Comcast Internet,Internet
1105,Comcast Not Delivering Advertised Speed,Internet
1106,Comcast Support,Network
1107,Several Issues,Other
1108,Inappropriate Billing,Billing
1109,Comcast Internet Offer,Internet
1110,Comcast Las Cruces New Mexico,Other
1111,Unfair Billing Practices,Billing
1112,Comcast Stockholder Response,Other
1113,Xfinity Cable & Internet Repackage Scam,Internet
1114,Constant Loss Of Account,Other
1115,Xfinity Slow Internet,Internet
1116,Comcast Poor Customer Service And Degraded Service,Network
1117,Data Cap,Network
1118,Comcast Internet,Internet
1119,Billing Discrepancies And Misrepresentation Of Package Prices,Billing
1120,Comcast Cancellation,Other
1121,Comcast Data Limit,Network
1122,Comcast Data Cap,Network
1123,Lack Of Service And Speed,Internet
1124,Comcast In Violation Of Merger Terms,Other
1125,Online Adertised Price Was Not Honored Over Phone,Billing
1126,"Comcast Inflated And ""Undetermined"", Ever-Increasing Rates",Billing
1127,Locals,Other
1128,Comcast Fees And Internet Services,Internet
1129,Blocking The Viewing Of Websites,Other
1130,Bait And Switch,Network
1131,Unfair Pricing,Billing
1132,Unresponsive Calls To Customer Service Regarding Wifi Hotspots,Internet
1133,Comcast Billing,Billing
1134,Comcast Promised Credits By Superviser,Other
1135,Bait & Switch,Network
1136,Data Caps,Network
1137,Data Caps,Network
1138,Comcast Data Cap,Network
1139,Cheating Customer,Network
1140,Comcast Bundled Services,Network
1141,Xfinity Unable To Correct Issue Of Losing Connection,Internet
1142,Comcast,Other
1143,Monopolistic Billing Practices,Billing
1144,300 Gb Monthly Allowance,Other
1145,Comcast Data Cap,Network
1146,Internet Down,Internet
1147,Comcast Data Threshold,Network
1148,Customer Service,Network
1149,Customer Service & Price,Billing
1150,Loss Of Electronics/Poor Customer Service/Faulty Grounding,Network
1151,Ongoing Comcast Internet Outages.,Internet
1152,Unfair Internet Prices,Internet
1153,Comcast Internet Dropping Out,Internet
1154,Comcast Problems,Other
1155,Overcharged For Underperforming Services,Billing
1156,I Am Being Throttled By Comcast,Internet
1157,Comcast Unfair Billing Practices,Billing
1158,Comcast Billing Shutting Off Service,Billing
1159,Comcastcomcas,Other
1160,Comcast Cable,Internet
1161,Fraudulent Billing Practices By Comcast,Billing
1162,Services Interrupted,Network
1163,Internet Contract Issue,Internet
1164,Comcast Billing,Billing
1165,Xfinity: Bogus Modem Charges,Internet
1166,N/A (B) (6),Other
1167,Comcast,Other
1168,Poor Customer Service And Internet Availability,Internet
1169,Comcast Service,Network
1170,Internet Service And Phone Service,Internet
1171,Xfinity,Other
1172,Internet Speeds And Billing Errors,Internet
1173,Comcast Billing Issue,Billing
1174,Internet Throttling & Unfair Billing Practices,Internet
1175,Internet Throttling & Unfair Billing Practices,Internet
1176,Comcast False Advertising,Grievance
1177,Speeds Slower Than Advertised,Internet
1178,Increase In Price Of Internet,Internet
1179,Comcast,Other
1180,Comcast Internet,Internet
1181,Slowness Of Internet,Internet
1182,Video Throttling,Internet
1183,Comcast/Xfinity,Other
1184,Ridiculous And Inconsistent Billing,Billing
1185,Comcast Over Inflating Data Meter Usage,Network
1186,Comcast Billing Fraud,Billing
1187,Comcast - Incorrect Billing Issues - Has Happened On Multiple Occasions With My Account,Internet
1188,Repeated Issues With Comcast Billing And Customer Service,Billing
1189,Comcast Data Cap,Network
1190,Unfair Pricing Practices,Billing
1191,Comcast Customer Service,Network
1192,Comcast Business Internet -- Not Providing Service To New Location & Will Not Terminate Contract Despite Multiple Attempts,Internet
1193,Data Caps Discourage Commerce,Network
1194,Comcast Internet Is Atrocious,Internet
1195,Comcast,Other
1196,Internet Speed,Internet
1197,Comcast Cancellation Issue,Other
1198,Internet Availability,Internet
1199,Comcast Is Giving Me The Ring Around And Charged Me $130,Billing
1200,Comcast Over Charges,Billing
1201,Comcast Internet Billing Problems/Disrespectful Customer Service Agents,Internet
1202,Bill Flucuation,Billing
1203,Comcast Internet-Price Keeps Changing,Internet
1204,Comcast Continuous Modem Rental Charges,Internet
1205,Comcast Throttling Internet,Internet
1206,Customer Service And Billing Complaint,Billing
1207,300Gb/Month Data Cap 'Trial' For Several Years Now,Network
1208,Comcast Data Usage Cap,Network
1209,Comcast Data Caps,Network
1210,"Comcast And Their ""Data Limit""",Network
1211,Comcast Refuses To Honor A Plan That One Of Their Sales Reps Offered,Other
1212,Comcast,Other
1213,Data Cap Imposed Without Notice,Network
1214,Comcast Charging Over $600 For Data,Billing
1215,Comcast/Xfinity,Other
1216,Comcast Business Internet,Internet
1217,Comcast 300Gb Data Cap,Network
1218,Comcast Charges,Billing
1219,Overcharged Internet Billing,Internet
1220,Comcast 300Gb Data Cap,Network
1221,Comcast - Billing Practices,Billing
1222,Comcast Billing And Service Issues,Billing
1223,Intermittent Poor Service,Network
1224,Inconsistent And Poor Internet Performance,Internet
1225,Internet Performance (Latency/Bandwidth) Substantially Below What I'M Paying For For Weeks,Internet
1226,Comcast Endless Problems,Other
1227,Internet Connection Delibrately Slowed Down,Internet
1228,Comcast - Customer Service/Technical Service Inferiority,Network
1229,Comcast Cable Outage,Internet
1230,Service Not Disconnected As Requested. Overcharged And Overpaid As A Result.,Billing
1231,Comcast Service,Network
1232,Infinity / Comcast,Other
1233,Datacaps,Network
1234,Comcast Internet Speeds,Internet
1235,Comcast - Internet Service Complaint,Internet
1236,No Comcast-- Uverse,Other
1237,Horrible Service,Network
1238,Comcast- Internet,Internet
1239,Internet,Internet
1240,Wasted Time And Money!,Other
1241,Billing Issues,Billing
1242,Forced To Pay For Home Security Services That Are Inactive Bundled With My Internet Services,Internet
1243,Comcast Data Caps,Network
1244,Comcast,Other
1245,Comcast Data Cap Limit,Network
1246,Invalid Sercice,Other
1247,Invalid Sercice,Other
1248,Comcast Data Caps,Network
1249,Stop The Data Caps Of Comcast,Network
1250,Lack Of Communication And Poor Customer Service,Network
1251,Comcast Data Cap,Network
1252,Comcast Overpricing,Billing
1253,Comcast Rates,Billing
1254,Comcast Data Cap,Network
1255,Comcast Refuse To Honor Agreed Upon Price / Promotion,Billing
1256,Comcast Slowing Down,Other
1257,Unfair Billing Practices,Billing
1258,Poor Customer Service With Comcast,Network
1259,Comcast Has Turned My Business Account To Third-Party Collections When I Legitimately Canceled My Contract Per The Terms,Billing
1260,"Comcast Still Billing, After Account Is Closed And Paid",Billing
1261,Comcast Deceving Upgrade Without Request,Other
1262,Comcast Service Issues.,Network
1263,"Comcast Internet, Telephone, Tv Service",Internet
1264,Not Receiving Internet And Harrassing Phone Calls,Internet
1265,Internet Service,Internet
1266,Comcast Complaint,Grievance
1267,Comcast Is Terrible,Other
1268,Comcast Internet Poor Service,Internet
1269,Charged For Cable Modem Rental That I Have Owned For 8 Years,Internet
1270,Monthly Charge For A Modem,Internet
1271,Comcast Service,Network
1272,Comcast Service,Network
1273,Comcast,Other
1274,Exaggerated Bill And Lack Of Responsibilities In Keep Appointments! Disrespect For Consumers,Billing
1275,Exaggerated Bill And Lack Of Responsibilities In Keep Appointments! Disrespect For Consumers,Billing
1276,Failure To Connect Service,Network
1277,Comcast Will Not Cancel My Account,Other
1278,Problems With Comcast Xfinity Internet Service,Internet
1279,"Paying For 50 Mbps From Comcast, Only Receiving 0.37 Mbps",Billing
1280,Comcast Internet Billing,Internet
1281,Comcast Internet Being Slow,Internet
1282,Comcast New Signup Billing Bait-And-Switch,Billing
1283,Billing,Billing
1284,Lack Of Internet Speed,Internet
1285,Comcast Poor Customer Services And Commitment,Network
1286,New Fcc Internet Rules Slowing Down System,Internet
1287,Unfair Pricing,Billing
1288,Poor Service From Comcast Xfinity,Network
1289,Internet And Cable Billing,Internet
1290,Comcast,Other
1291,Comcast Charging Me For Items I Do Not Want/Asked For,Billing
1292,Internet Throttling,Internet
1293,Comcast - New Service (Ridiculously Inept + Not Close To The Speed Told) Added And Incorrect Charges On The First Bill - Hoping I Would Not Notice,Internet
1294,"Second Complaint ""Comcast Not Honoring Marketing Materials""",Grievance
1295,"Comcast Committing ""Bait And Switch Fraud""",Network
1296,Worst Customer Service With No Resolution,Network
1297,Comcast,Other
1298,Comcast Billing Issues,Billing
1299,Paying For High Speed Internet And Receiving Low Speeds,Internet
1300,Unwilling To Provide A Refund For Charging Rent On A Modem,Internet
1301,Internet Connectivity Issues,Internet
1302,Comcast Has Raised My Bill Twice Without Warning,Billing
1303,"Comcast Charges Me For 25M Connection, Get 5 Down/11 Up",Internet
1304,Comcast Business Not Honoring Signed Contract,Billing
1305,Transfer Of Services,Network
1306,Comcast Nightmare,Other
1307,Charged Erroneous Fee On Bill,Billing
1308,I Need Help Pleas,Other
1309,Discriminatory Tiered Pricing And Traffic Limitations By Comcast.,Billing
1310,Comcast Thieves,Other
1311,Low Internet Quality,Internet
1312,False Advertisement,Grievance
1313,Comcast Targeted Blocking Of Content,Other
1314,Slow Internet / Monopoly Area,Internet
1315,Data Cap,Network
1316,Data Cap 300Gb,Network
1317,Comcast Usage Limit,Network
1318,Comcast Billing For Late Payment/Disconnect Due To Their Error,Billing
1319,Internet Service Down,Internet
1320,Spam,Other
1321,Failure To Resolve Internet Outages,Internet
1322,Comcast Internet Service That I Was Never Able To Use,Internet
1323,Comcast Account Issues/Customer Service Complaints,Network
1324,Comcast Internet,Internet
1325,Ads For Website,Other
1326,"Comcast Is Awful, Lies, And Is Corrupt",Other
1327,Internet Freezing,Internet
1328,Unannouced Service Outage Not Caused By Weather,Network
1329,Comcast Data Cap Is Bullcrap,Network
1330,Receiving Bill For Account That Was Supposed To Be Cancelled,Billing
1331,Comcast,Other
1332,Comcast Refusing To Run Lines,Other
1333,Comcast Unreliable Speed/ Service,Internet
1334,Internet Service,Internet
1335,Internet Service,Internet
1336,Internet Service,Internet
1337,Comcast Slow Speeds And Lying About Prices,Internet
1338,Billing Issues,Billing
1339,Unfair Comcast Billing Practices,Billing
1340,Comcast Charging Me Monthly Fees For Equipment Rental When I Own The Equipment,Internet
1341,"Comcast Refuses To Credit Erroneous Overcharges Due To Deceptive ""Promotional"" Rates",Billing
1342,Comcast Data Cap,Network
1343,"Comcast Installation Date Of June 22, 2015",Other
1344,Comcast Refusing To Provide Continued Service Promised/Advertised In Writing,Network
1345,Required $100 Deposit To Open An Account,Billing
1346,Comcast,Other
1347,Cap On Comcast Data,Network
1348,Comcast Internet Down Since 4/25 With No Resolve,Internet
1349,False Charges & Refusal To Credit,Billing
1350,Commercials Burning Data,Network
1351,Comcast,Other
1352,Comcast Internet Complaint,Internet
1353,Over Charging For Internet,Internet
1354,Comcast Data Policy And Lies,Network
1355,Comcast/Xfinity Customer Service And Billing,Billing
1356,Comcast Data Cap,Network
1357,Throttling Bandwidth.,Internet
1358,Comcast Billing,Billing
1359,Comcast Service,Network
1360,Comcast Data Overage Charges,Billing
1361,Dishonest Billing Practices,Billing
1362,Dishonest Billing Practices And Lying,Billing
1363,Comcast,Other
1364,Comcast Lowering Internet Speeds On Constant Basis,Internet
1365,Comcast Lies To The Customer Just To Get Them Off The Phone,Network
1366,Internet,Internet
1367,No Package/Pricing Information From Comcast For San Francisco,Billing
1368,Fraudulent Charges And Poor Or No Service,Billing
1369,Speed For Internet Nowhere Close To Claims,Internet
1370,Comcast Took My Account Info,Other
