Complaint Catagory,clean
Other,lied to now i m suffering and at a loss
Other,cyber bulling
Network,comcast service
Other,comcast business
Network,service complaint
Other,comcast e-mail issues
Billing,comcast slamming with fees
Billing,fraudulent charges
Billing,comcast billing
Other,monopoly
Billing,comcast billing has caused issues
Network,business practices and customer treatment
Network,xfinity not providing service in my portion of the neighborhood
Billing,comcast customer service and billing service
Internet,not receiving the speeds promised and the charges are too high
Internet,internet bill goes up with no cable bundle
Other,significant quality loss
Network,customer services
Billing,unfair billing practices
Network,service issues
Internet,xfinity throttling my connection
Network,service down for 25 days but was never credit it for it
Network,comcast home business service - fc consulting llc
Internet,being charged for modem that was returned over 1 year ago
Network,comcast data cap
Billing,comcast s pricing and bundling model is a monopolized extortion in my area
Internet,comcast forcing me to pay same rate for lower speed
Internet,speeds lower than advertised
Network,comcast data cap of 300gb
Network,data cap
Internet,comcast online access
Network,availabilty
Internet,wireless internet
Internet,no access to hbo go on playstation 4 through comcast
Internet,very frequent service outages with comcast internet
Internet,ongoing serious and cotinued internet service outages
Internet,internet problems billing and service
Other,comcast blocking hbo go on sony playstation devices
Other,continued slowness for more than 2 weeks
Other,continued slowness for almost 3 weeks
Other,continued slowness for almost 3 weeks
Internet,comcast s constant manipulation of bills
Network,false advertising bait switch
Network,false advertisement for paid service
Internet,comcast internet
Internet,comcast internet and tv false information and false price
Network,comcast data cap interference with free market
Billing,inhome service visit charged when the problem was outside of my apartment
Internet,comcast internetcable tv package
Internet,comcast internet overage charges
Billing,unauthorized charge on comcast bill
Network,data caps by comcast
Internet,comcast high speed internet
Billing,fradulant charges against credit report
Network,comcast data caps
Network,comcast data caps
Network,comcast data caps
Network,comcast home data usage cap
Network,unable to obtain residential service
Network,bandwidth caps
Other,local monopoly
Network,comcast data plan
Internet,comcast isp oio violation
Network,comcast data cap
Other,comcast intrnet
Billing,refusal to prorate for services not recieved
Network,comcast data caps
Billing,data soft cap and charges from comcast
Internet,comcast speed and cap misinformation
Other,comcast excessive overages
Internet,comcast data caps for home internet service
Other,comcast
Network,comcast monthly data usage cap
Billing,comcast data limits and overage charges
Network,comcast data use caps
Network,data caps
Network,service outno customer service provided
Network,comcast data usage
Network,forced data capping
Billing,comcast costs
Billing,unfair billing practices
Other,request to transfer e-mail account from comcast
Network,comcast data cap
Grievance,complaint against comcastinfinity
Network,complaint about service provided by comcastxfinity
Other,problems with comcast
Network,service provided is not what was promised
Email,email account removed
Internet,internet
Billing,billing fraud by comcast
Other,comcast
Internet,internet availability for students
Billing,billing
Internet,comcast internet
Internet,comcast internet billing
Network,inability to call 911 service during a power outage
Other,comcast monopoly hurting my business
Billing,comcast-billing
Internet,internet speed not as advertised
Other,underhanded sales techniques
Internet,comcast internet
Internet,internetphone billing services
Billing,fraudulent billing practice
Internet,not receiving network speed as advertised
Internet,internet speedservice
Other,comcast not honoring agreement
Internet,falsified unreturned equipment fees
Internet,slow comcast internet
Internet,comcast not delivering advertised speed
Network,comcast support
Other,several issues
Billing,inappropriate billing
Internet,comcast internet offer
Other,comcast las cruces new mexico
Billing,unfair billing practices
Other,comcast stockholder response
Internet,xfinity cable internet repackage scam
Other,constant loss of account
Internet,xfinity slow internet
Network,comcast poor customer service and degraded service
Network,data cap
Internet,comcast internet
Billing,billing discrepancies and misrepresentation of package prices
Other,comcast cancellation
Network,comcast data limit
Network,comcast data cap
Internet,lack of service and speed
Other,comcast in violation of merger terms
Billing,online adertised price was not honored over phone
Billing,comcast inflated and undetermined ever-increasing rates
Other,locals
Internet,comcast fees and internet services
Other,blocking the viewing of websites
Network,bait and switch
Billing,unfair pricing
Internet,unresponsive calls to customer service regarding wifi hotspots
Billing,comcast billing
Other,comcast promised credits by superviser
Network,bait switch
Network,data caps
Network,data caps
Network,comcast data cap
Network,cheating customer
Network,comcast bundled services
Internet,xfinity unable to correct issue of losing connection
Other,comcast
Billing,monopolistic billing practices
Other,300 gb monthly allowance
Network,comcast data cap
Internet,internet down
Network,comcast data threshold
Network,customer service
Billing,customer service price
Network,loss of electronicspoor customer servicefaulty grounding
Internet,ongoing comcast internet outages
Internet,unfair internet prices
Internet,comcast internet dropping out
Other,comcast problems
Billing,overcharged for underperforming services
Internet,i am being throttled by comcast
Billing,comcast unfair billing practices
Billing,comcast billing shutting off service
Other,comcastcomcas
Internet,comcast cable
Billing,fraudulent billing practices by comcast
Network,services interrupted
Internet,internet contract issue
Billing,comcast billing
Internet,xfinity bogus modem charges
Other,na b 6
Other,comcast
Internet,poor customer service and internet availability
Network,comcast service
Internet,internet service and phone service
Other,xfinity
Internet,internet speeds and billing errors
Billing,comcast billing issue
Internet,internet throttling unfair billing practices
Internet,internet throttling unfair billing practices
Grievance,comcast false advertising
Internet,speeds slower than advertised
Internet,increase in price of internet
Other,comcast
Internet,comcast internet
Internet,slowness of internet
Internet,video throttling
Other,comcastxfinity
Billing,ridiculous and inconsistent billing
Network,comcast over inflating data meter usage
Billing,comcast billing fraud
Internet,comcast - incorrect billing issues - has happened on multiple occasions with my account
Billing,repeated issues with comcast billing and customer service
Network,comcast data cap
Billing,unfair pricing practices
Network,comcast customer service
Internet,comcast business internet -- not providing service to new location will not terminate contract despite multiple attempts
Network,data caps discourage commerce
Internet,comcast internet is atrocious
Other,comcast
Internet,internet speed
Other,comcast cancellation issue
Internet,internet availability
Billing,comcast is giving me the ring around and charged me 130
Billing,comcast over charges
Internet,comcast internet billing problemsdisrespectful customer service agents
Billing,bill flucuation
Internet,comcast internet-price keeps changing
Internet,comcast continuous modem rental charges
Internet,comcast throttling internet
Billing,customer service and billing complaint
Network,300gbmonth data cap trial for several years now
Network,comcast data usage cap
Network,comcast data caps
Network,comcast and their data limit
Other,comcast refuses to honor a plan that one of their sales reps offered
Other,comcast
Network,data cap imposed without notice
Billing,comcast charging over 600 for data
Other,comcastxfinity
Internet,comcast business internet
Network,comcast 300gb data cap
Billing,comcast charges
Internet,overcharged internet billing
Network,comcast 300gb data cap
Billing,comcast - billing practices
Billing,comcast billing and service issues
Network,intermittent poor service
Internet,inconsistent and poor internet performance
Internet,internet performance latencybandwidth substantially below what i m paying for for weeks
Other,comcast endless problems
Internet,internet connection delibrately slowed down
Network,comcast - customer servicetechnical service inferiority
Internet,comcast cable outage
Billing,service not disconnected as requested overcharged and overpaid as a result
Network,comcast service
Other,infinity comcast
Network,datacaps
Internet,comcast internet speeds
Internet,comcast - internet service complaint
Other,no comcast -- uverse
Network,horrible service
Internet,comcast- internet
Internet,internet
Other,wasted time and money
Billing,billing issues
Internet,forced to pay for home security services that are inactive bundled with my internet services
Network,comcast data caps
Other,comcast
Network,comcast data cap limit
Other,invalid sercice
Other,invalid sercice
Network,comcast data caps
Network,stop the data caps of comcast
Network,lack of communication and poor customer service
Network,comcast data cap
Billing,comcast overpricing
Billing,comcast rates
Network,comcast data cap
Billing,comcast refuse to honor agreed upon price promotion
Other,comcast slowing down
Billing,unfair billing practices
Network,poor customer service with comcast
Billing,comcast has turned my business account to third-party collections when i legitimately canceled my contract per the terms
Billing,comcast still billing after account is closed and paid
Other,comcast deceving upgrade without request
Network,comcast service issues
Internet,comcast internet telephone tv service
Internet,not receiving internet and harrassing phone calls
Internet,internet service
Grievance,comcast complaint
Other,comcast is terrible
Internet,comcast internet poor service
Internet,charged for cable modem rental that i have owned for 8 years
Internet,monthly charge for a modem
Network,comcast service
Network,comcast service
Other,comcast
Billing,exaggerated bill and lack of responsibilities in keep appointments disrespect for consumers
Billing,exaggerated bill and lack of responsibilities in keep appointments disrespect for consumers
Network,failure to connect service
Other,comcast will not cancel my account
Internet,problems with comcast xfinity internet service
Billing,paying for 50 mbps from comcast only receiving 037 mbps
Internet,comcast internet billing
Internet,comcast internet being slow
Billing,comcast new signup billing bait-and-switch
Billing,billing
Internet,lack of internet speed
Network,comcast poor customer services and commitment
Internet,new fcc internet rules slowing down system
Billing,unfair pricing
Network,poor service from comcast xfinity
Internet,internet and cable billing
Other,comcast
Billing,comcast charging me for items i do not wantasked for
Internet,internet throttling
Internet,comcast - new service ridiculously inept not close to the speed told added and incorrect charges on the first bill - hoping i would not notice
Grievance,second complaint comcast not honoring marketing materials
Network,comcast committing bait and switch fraud
Network,worst customer service with no resolution
Other,comcast
Billing,comcast billing issues
Internet,paying for high speed internet and receiving low speeds
Internet,unwilling to provide a refund for charging rent on a modem
Internet,internet connectivity issues
Billing,comcast has raised my bill twice without warning
Internet,comcast charges me for 25m connection get 5 down11 up
Billing,comcast business not honoring signed contract
Network,transfer of services
Other,comcast nightmare
Billing,charged erroneous fee on bill
Other,i need help pleas
Billing,discriminatory tiered pricing and traffic limitations by comcast
Other,comcast thieves
Internet,low internet quality
Grievance,false advertisement
Other,comcast targeted blocking of content
Internet,slow internet monopoly area
Network,data cap
Network,data cap 300gb
Network,comcast usage limit
Billing,comcast billing for late paymentdisconnect due to their error
Internet,internet service down
Other,spam
Internet,failure to resolve internet outages
Internet,comcast internet service that i was never able to use
Network,comcast account issuescustomer service complaints
Internet,comcast internet
Other,ads for website
Other,comcast is awful lies and is corrupt
Internet,internet freezing
Network,unannouced service outage not caused by weather
Network,comcast data cap is bullcrap
Billing,receiving bill for account that was supposed to be cancelled
Other,comcast
Other,comcast refusing to run lines
Internet,comcast unreliable speed service
Internet,internet service
Internet,internet service
Internet,internet service
Internet,comcast slow speeds and lying about prices
Billing,billing issues
Billing,unfair comcast billing practices
Internet,comcast charging me monthly fees for equipment rental when i own the equipment
Billing,comcast refuses to credit erroneous overcharges due to deceptive promotional rates
Network,comcast data cap
Other,comcast installation date of june 22 2015
Network,comcast refusing to provide continued service promisedadvertised in writing
Billing,required 100 deposit to open an account
Other,comcast
Network,cap on comcast data
Internet,comcast internet down since 425 with no resolve
Billing,false charges refusal to credit
Network,commercials burning data
Other,comcast
Internet,comcast internet complaint
Internet,over charging for internet
Network,comcast data policy and lies
Billing,comcastxfinity customer service and billing
Network,comcast data cap
Internet,throttling bandwidth
Billing,comcast billing
Network,comcast service
Billing,comcast data overage charges
Billing,dishonest billing practices
Billing,dishonest billing practices and lying
Other,comcast
Internet,comcast lowering internet speeds on constant basis
Network,comcast lies to the customer just to get them off the phone
Internet,internet
Billing,no packagepricing information from comcast for san francisco
Billing,fraudulent charges and poor or no service
Internet,speed for internet nowhere close to claims
Other,comcast took my account info
Billing,over billing no reason code for excess billing fraud - imo
Internet,unreliable internet service
Other,comcast caught in 3 lies
Billing,no bill
Internet,bait and switch product offerings for internet blast service
Internet,comcast charges modem rental but modem was returned 3 years ago
Internet,comcast internet
Network,comcast bundle availability complaint
Internet,comcast connection issues
Billing,unauthorized change in charges
Network,availabilty
Network,data allowance
Billing,comcast billing issues
Network,comcast data usage - deceptive practice
Network,comcast s data cap
Internet,comcast is limiting my access to data by using data caps
Other,comcast attempting to circumvent net neutrality policies
Network,comcast data cap
Network,comcast downgraded service with no notification
Internet,comcast internet
Network,comcast data caps in currently uncompetitive nashville market
Internet,comcast- not responsive to multiple requests for service
Other,comcast is stealing from me
Network,comcast horrible service
Network,intermittent drops of service
Billing,overage charges
Other,comcast refund
Internet,comcast speeds not as advertised
Network,comcast data cap
Internet,comcast internet
Internet,lost internet service
Internet,low wifi
Internet,issue with internet speed
Internet,comcast internet complaint
Internet,internet problems
Billing,comcast service problems for months charging without fixng the issue
Network,horrible customer service could not help me - lied to by supervisor
Grievance,comcast false advertising
Internet,comcast business internet
Billing,comcast lied about pricing and installation
Billing,comcast- unfair pricing tactics
Billing,overcharges
Other,comcast is a monopoly
Other,comcast is cheating me
Billing,overcharged
Internet,comcast business phoneinternet contract disagreement
Network,unable to cancel comcast service
Billing,misleading information regarding contract leads to 200 unresolved early term fee
Other,comcast issues
Internet,internet down
Network,comcast failure of service
Internet,comcast throttling my internet connection
Billing,billingservice issues
Network,10 days no service - 12 appointments comcast has nt shown up - comcast has not fixed home infinity x1 - in 10 days- can not make 911 calls
Internet,internet outages
Internet,high speed internet awful
Internet,rude nasty customer service behavior and a three year failure to deliver the business internet services paid for
Other,comcast failing still
Network,the worst customer service team and negative outlook on customers
Other,comcast
Other,comcastxfinity
Internet,internet problems
Billing,improper billing
Internet,internet being slowed
Internet,spotty service business class internet
Internet,bundled cable and internet
Other,comcast dishonest marketing scheme
Network,sold one service received another
Internet,internet speed
Network,home shopping network emails
Other,comcast
Internet,internet speed
Internet,comcast charging too much and internet speed lower than ordered
Internet,ask comcast to fix internet connection of my home
Other,comcast scam
Billing,comcast service and billing issue
Internet,speed throttling
Billing,bill to damn high
Network,comcast data usage cap
Internet,comcast - internet data cap
Billing,comcast service and billing issues
Billing,illegal charges from comcast
Other,comcast
Internet,inconsistent low speeds that are overpriced
Network,bad customer service
Internet,unable to cancel poor internet service
Network,microsoft is limiting service
Other,unethical behavior comcast requesting credit check or deposit
Other,unfair bundles
Other,comcast
Other,years of packet loss and downtime
Other,comcast run around
Internet,comcast cablevision florida
Other,comcast
Billing,poor quality service and unauthorized charges
Billing,comcastxfinity cancellation fee
Internet,comcast billing and speed
Network,data cap overages
Internet,comcast data caps are killing the internet
Other,lied to by comcast
Network,data cap in olive branch ms with comcast
Network,data cap
Internet,comcast internet data cap segregation
Internet,inconsistent internet service
Billing,comcast - fraudulent billing practices unwilling to resolve situation
Internet,billing and slowing of internet
Internet,internet and tv problems
Internet,day 3 of internet going down and disconnect support calls
Internet,internet service billing
Billing,forcing customer to pay an incorrect bill to get it fixed
Billing,comcast billingpricing practices
Network,comcast terrible service 2
Network,bait and switch services for monetary gain
Internet,comcast xfinity internet performance
Internet,outrageous internet bill adjustments from comcast
Internet,comcast cablephoneinternet complaint
Internet,comcast data usage - additional fee for internet usage but not tv
Billing,billing complaint
Other,comcast
Network,abysmal customer service do not approve merger with time warner
Internet,comcast business internet service down for 6 days
Billing,billing
Other,problems with comcast
Internet,internet billing
Billing,comcast billing
Other,comcast
Billing,comcast billing
Network,data usage limit
Network,data cap limitations
Network,comcast service rep missed appointment i missed a very important family gathering because i was waiting on the worker to show
Billing,unfair billing
Internet,throttle internet
Internet,comcast phone internet and tv
Billing,erroneous charges on comcast bill
Billing,deceptive and false contract on business comcast for service call
Billing,poor service inaccurate billing
Other,my comcast nightmare
Internet,comcast internet bait and switch
Network,no service no assistance
Network,comcast is a terrible service
Internet,comcast high-speed internet does not work
Billing,comcast billing customer service
Network,failure to cancel service
Internet,unable to return equipment
Internet,unable to return equipment
Internet,slow internet speeds
Billing,comcast keeps hiking my bill for no reason
Internet,questionable internet slowdown
Other,comcast
Internet,advertised internet price not honored
Network,data cap problems
Internet,comcast internet overage charges
Network,surprise data caps from comcast
Billing,price increase while on a fixed price plan
Internet,internet price went up offered lower price deal with cable tv
Other,comcast
Other,comcast metro fiber
Other,comcast
Other,terrible experience with comcast
Other,promotion ended in one month
Network,metered bandwidth with no data meter
Network,comcast data cap
Internet,speed
Billing,comcast xfinity larger withdrawal on automatic payment than billed
Network,inability to add service
Internet,no internet service
Network,comcast customer service theft inconsistency
Other,comcast
Other,terrible comcast experience - no end in sight
Network,comcastxfinity customer service
Other,comcast is blocking hbo go in sony platforms
Other,bundle
Other,comcast blocking hbo go from playstation 3 and 4
Internet,cancelled comcast internet - service and billing was never cancelled
Network,terrible service
Internet,internet connectivity and speed
Internet,bad internet speeds
Other,comcast
Billing,comcast billing issues
Other,comcast refuses to recognize our same sex marriage
Internet,comcast wifi service
Internet,terrible internet quality
Billing,comcast billing and services
Billing,unfair billing at comcast
Grievance,comcast complaint
Internet,internet service provider billing increase
Internet,was liked to about the speed and the price that was offered to me
Other,comcast
Network,stop the cap
Billing,comcast quoted one price then billed another
Internet,poor internet quality
Other,comcast terrible experience with no resolution
Other,comcast terrible experience with no resolution
Internet,comcast throttling connection speeds
Other,comcast
Billing,comcast fraudulent billing charges
Billing,unfair pricing
Billing,comcast s unfair billing and pricing practices
Internet,slowed internet speeds
Internet,comcast -- throttling connection
Internet,no internet phone or cable service
Internet,comcast bundling of internet and tv services and deceptive sales practices
Billing,comcast price inflation
Other,comcast
Other,comcast
Internet,slow internet speeds
Billing,bill payment
Network,comcast service
Internet,comcast is not providing service for bad internet
Billing,billingservice issues
Billing,comcast billing increase
Billing,charging for service with out fixing the problem
Internet,i do not have internet and work from home
Network,terrible customer service from comcast
Internet,internet not working
Network,expensive service capped
Network,comcast email service
Billing,comcast deceptive billing practices
Internet,broadband internet service
Other,comcast blocks hbogo from sony ps4 and ps3 devices
Other,communication problem
Billing,comcast - unfair billing policies
Other,bundle bull s
Internet,unwarranted charges by comcast for internet
Internet,outage of internet service 5192015 and attitude of cust svc rep
Internet,no internet service
Billing,comcast mislead me and cost my business
Other,comcast
Billing,comcast billing
Other,comcast misses 4 appointments
Internet,internet and phone service
Billing,comcast billing primary service secondary
Billing,comcast s deceptive billing
Internet,comcast internet
Internet,comcast internet data cap
Other,comcast blocking hbo content for streaming
Billing,billing issue
Internet,comcast has a monopoly on our internet
Network,bait and switch again
Billing,comcast deceptive business class billing
Billing,billing
Internet,internetcable service
Network,comcast theft lying horrible service and deception
Billing,invalid sercvice charge
Billing,comcast billing complaint
Internet,comcastxfinity blast internet
Other,comcast
Network,comcast bandwidth availability
Network,data limit with comcast
Billing,excessive billing
Internet,unable to get comcast to provide me with broadband
Internet,loss connection internet many time in a day
Other,no way to see when promotions end
Billing,comcast not connecting me to cancel service and raising prices unfairly
Internet,comcast - i ve been paying for unnecessary speeds when they knew and i did not
Other,comcast
Internet,internet bill increase
Network,comcast bait and switch
Other,comcast
Internet,comcast shut-off notice -internettv
Internet,cable splitter without consent from customer comcast
Other,e-mail
Grievance,comcast complaint
Billing,service billing
Internet,comcast overcharges for internet charges
Other,comcast
Network,comcast data caps
Network,comcast data usage caps
Billing,data caps and monthly fees
Other,comcast monopoly in calvert county maryland
Internet,comcast speed
Internet,comcast internet billing
Other,comcast corporation
Other,comcast
Network,comcastxfinity customer service
Internet,intermittent expensive connection
Internet,slower internet speeds than what i was promised for my pay
Internet,internet connectivity loss over 1000ms latency under 1mbps speeds
Internet,comcast throttling
Network,comcast data caps are an end-run around net neutrality
Internet,comcast internet disconnection
Network,non working service
Internet,internet pricing competition
Other,comcast conplaints
Internet,comcast throttling playstationand blocking hbo go
Other,comcast xfinity unethical business practice
Other,comcast blocking hbo go on playstation systems
Network,comcast is a downright awful service provider
Other,comcast screwed me
Internet,comcast speed not matching blocked phone number
Other,comcast
Internet,tinternet service provider complaint
Internet,high speed internet
Billing,complaint about comcast s hidden fees and unauthorized charges
Billing,issues with service and payments
Internet,comcast billing dispute - wireless service
Network,comcast service inadequacies
Internet,internet speed
Internet,internettv bundle service
Other,comcast set up
Internet,unacceptable business internet service from comcast
Internet,poor speed and reliability
Internet,possible speed throttling comcast xfinity richmond va
Internet,comcast speed throttling and more
Internet,comcast ending promotion and contract early directing customer to resolve disputes in person at their office
Internet,shady internet billing practices from comcast
Internet,comcast internet
Other,about comcast
Other,about comcast
Network,comcast data cap
Internet,internet service is down for three weeks now
Other,hbo go on ps3
Billing,unfair charges
Internet,data cap on internet downloads
Internet,comcast speed
Billing,comcast has been over charging us
Billing,billing issues
Internet,comcast internet service
Billing,comcast billing and service issues
Internet,internet and customer service problem with comcast
Network,lack of consistent service
Internet,interne speed
Other,comcast
Network,comcast ordered services that we never agreed to
Internet,billing dispute
Other,comcastnet
Internet,comcast taking almost 9 days to solve my internet issue
Other,failure to provide imstallation rockville maryland 20852
Internet,internet slow
Billing,predatory billing by comcast
Internet,comcast xfinity barely ever works and speed sucks
Email,email transfer problems
Internet,cramming charges on my phoneinternet bill
Internet,throttled internet speeds
Billing,comcast billing problem
Billing,comcast over charges with no notification
Internet,internet availability
Internet,comcast internet usage caps
Billing,comcast service and billing issues
Internet,internet outages
Internet,comcast internet - horrible customer service
Network,comcast s customer service is awful
Internet,manipulative billing issue
Internet,comcast advertised wifi internet speed not provided false advertisment
Internet,comcast s internet is slower than what i pay for
Other,bad practices
Billing,over billing comcast
Other,refusal to rectify
Other,comcast
Internet,cable availability
Network,data usage with comcast
Internet,billing dispute
Network,re complain against comcast email and telephone for home service
Network,false service
Other,misinformed over and over again
Other,comcastxfinity
Other,comcast blocking hbogo on playstation 4 consoles
Internet,comcast internet online streaming
Network,false information given just to get me set up service
Internet,comcast speed throttling internet
Internet,possible throttle
Internet,throttling and disconnections
Internet,internet offer rescinded
Internet,internet throttling
Other,comcast
Other,comcast are crooks
Billing,comcast price increase not in line with advertisement
Internet,comcast internet service
Internet,intermittant phone and internet
Billing,comcast etf charge
Billing,being charged for a technician fee
Internet,comcast internet service
Network,availabilty
Internet,internet
Billing,unauthorized 2-year contract with comcast
Email,unwanted email with no opt out options
Billing,waive the reoccuring charges
Internet,difficulty with internet speeds
Other,comcast move
Billing,monopolistic billing
Internet,uncompetitive pricing of comcast internet services
Billing,comcast forced me into a contract
Other,comcast
Internet,repeated installation issue with comcast internet service
Billing,ecobill discount
Network,horrible customer service from comcast
Internet,comcast internet
Other,comcast
Internet,comcastxfinity poor internet connection speed and poor customer service
Internet,i pay for 25mbps internet but get less than 3mbps
Billing,comcast - billing for service that they can not provide
Billing,comcast illegally introduces service fees without notice or customer consent
Billing,comcast changed my package and wants me to pay more
Internet,comcast throttling or otherwise under-delivering internet service
Billing,comcast refuses to lower my bill to prevoius agreement
Billing,billing and deceitful practices by comcast
Billing,unfair billing practices engaged by comcastxfinity
Billing,comcast overcharging despite regular calls and agreed upon price
Internet,unclear quoted speeds and prices
Billing,comcast billing practices
Internet,internet issues with comcast
Internet,internet speed
Internet,awful internet
Billing,being charged incorrect price
Billing,false billing
Other,postal mail ticket - 0057
Billing,comcast xfinity charges consumer for troubleshootingfixing its own problems
Email,recent hacking of email account
Billing,comcast billing
Internet,internet service termination
Billing,unnecessary charge by comcast for technician visit
Network,racist customer service from manager sonia and employee adriana comcast location 999 edgewater blvd foster city ca 94404
Other,fraudulent use of credit card and credit card information
Other,reporting comcast s various problems
Billing,comcast billing complaint
Other,postal mail ticket 2334
Billing,double billing
Other,refund issues
Billing,price increase
Other,comcast unfair product bundling
Internet,comcast not refunding deposit for cancelled internet
Internet,comcast artificially inflating prices of internet only services
Internet,extremely slow internet and no aid from comcast
Internet,throttlingdrastic reduction of speeds
Other,comcast fraud
Other,comcast forces rep visit then goes back on their promise
Network,comcast denies providing offered service
Internet,cable internet unavailable
Billing,unfair pricing and raising of pricing and charging without permission
Internet,concern about comcast internet modem billing practices
Billing,unfair fees
Internet,slow internet speed
Billing,comcast changes bill prices without my consent
Internet,false claims of internet speed tier
Internet,poor interent connection-equipment failure slow speed
Grievance,comcast false misleading sale practice
Other,misleading sales practice and advertising
Billing,comcast sold me a package knowing it would nt work for me and proceeded to charge me more and attempt to tack on fees for their mistake
Internet,comcast bill way too high for such slow speeds
Internet,comcast blocking hbo go access on playstation 4
Network,comcast xfinity data cap in atlanta ga
Network,comcast data caps
Billing,comcast ignores my requests to cancel a service and instead added product to my bill and increased the monthly cost
Internet,being charged for high speed internet and services are not rendered
Internet,internet unreliable
Internet,price of internet service
Other,closed account
Internet,comcast inflated internet pricing
Internet,expensive internet service for average speed
Billing,comcast pricing practices
Billing,pricing and lies
Billing,charge for service they wo nt deliver
Internet,comcast throttles santa cruz ca to 30mbits claims we get 50mbits
Internet,comcast misrepresenting speeds in santa cruz ca
Internet,comcast wrong advertised speeds
Internet,misrepresented internet speed
Internet,being charged for internet speeds that equipment can not deliver
Other,huge number of lies from comcast
Internet,comcast internet and tv
Internet,poor internet reception
Billing,overcharging and shitty service
Network,comcast bait and switch
Other,comcast issues
Internet,throttled connection at peak time
Other,comcast
Internet,price manipulation
Internet,charges for internet service are bogus
Internet,extremely slow comcast internet connection have tried to have fixed but no one comes
Network,data overages
Internet,internet service disconnected accidentally by comcast personnel poor service
Billing,intenet advertised rate versus customer service phone quote with comcast xfinity
Other,comcast
Billing,customer service billing
Network,service issues
Billing,billing customer service issues
Billing,outrageous billing costs and data caps
Billing,falsifying plan rates and charges
Network,comcast data cap
Network,bait and switch service
Network,unable to change my service
Billing,comcast bill and service disclosure
Other,comcast harassment
Billing,complaint regarding billing practices
Internet,complaint against comcast for provisioning of internet service ar residential address
Other,install gone bad
Billing,comcast s unfair pricing
Other,needed tech suport
Internet,speed misrepresentation
Other,fraudulent advertising
Other,deceptive sales practices
Other,comcast trespassing
Internet,internet issues and customer service issues
Grievance,complaints against comcat
Internet,charge for equipment from comcast i was not made aware when i ordered it
Billing,xfinity is charging me more money for my account than what it should be
Other,comcast
Network,failure of service from comcast
Network,failure of service from comcast
Other,comcast
Internet,internet speeds less than what we are paying for after canceling cable tv service
Billing,comcast continues to bill me though i canceled months ago
Internet,billing internet service issues with comcast in seattle wa
Internet,comcast repeatedly failing to install internet service
Internet,slow internet speed
Billing,comcast s egregious billing techniques
Billing,comcast s unfair billing practices
Internet,slow internet
Other,slow routing dropped packets
Other,comcast re-escalation of case esl01877347 - orr
Other,comcast no show s
Billing,fraudulent billing
Internet,internet connectivity
Network,data usage meter
Network,comcast data usage meter
Internet,comcastxfinity internet data cap
Internet,threat of shutting off service of phone internet and tv
Network,comcast data usage plan limit
Network,bad service please help
Internet,improper modems
Other,comcast blocking hbo go on playstation
Other,comcast run around
Internet,multiple unauthorized and unwarranted credit checks
Internet,comcast cable billing fraud
Internet,comcast billing past disconnection time
Internet,comcast will not allow me to cancel my internet service
Internet,dsl
Billing,contract
Billing,comcast over charging
Internet,access issues have returned
Internet,comcast internet service
Email,email sdervice
Grievance,complaint against comcast
Internet,internet speed
Internet,comcast internet complaint
Network,comcast service agreement
Network,comcast service
Network,comcast 300gb cap
Internet,internet essentials
Network,cap complaints
Network,comcast data caps
Other,continue to be scared by comcast
Billing,price plans
Grievance,complaint against comcast corporation
Billing,pricing discrimination monopolistic behavior in an oligopolistic market
Internet,internet much slower than advertised
Billing,cheating in bundle service pricing
Other,deceptive business practices by comcast
Other,comcast
Other,comcast monopoly and abuse
Billing,comcast billing
Billing,billing
Billing,comcast billing and account issues
Billing,comcast rate
Network,comcast service and customer service
Network,comcast data cap
Internet,comcast internet service
Grievance,fccgov website for complaints
Billing,comcast billing complaint
Network,denial of service
Internet,internet help south lyon mi 48178
Internet,internet help south lyon mi 48178
Internet,very low wireless speed not working well
Internet,internet service from comcast
Other,comcast
Network,data usage cap
Billing,charged for data not actually used
Billing,charged for data not actually used
Billing,data overage charges
Internet,poor internet
Internet,speed
Billing,billing issues
Billing,fraudulent billing erroneous billing overbilling
Network,xfinity customer service
Internet,internet price
Internet,comcast throttling my high-speed internet
Internet,slow internet over charged billing
Internet,no internet available since a comcast techinitian did an intervention to change plans
Other,comcast xfinity monopoly abuses
Billing,comcast billing support and practices
Network,extremely poor customer service
Network,interrnet service
Other,comcast
Internet,comcast cable and internet
Other,comcast
Other,comcast
Other,comcast accourt
Network,availabilty
Internet,comcast internet services
Billing,unfair billing practices by comcast xfinity
Billing,unfair billing practices
Internet,incorrect billing of non-rented equipment
Internet,paying for hi speed internet 105 mbps
Internet,comcast internet being charged full price for partial service
Network,poor quality service and broken promises
Billing,monthly rate confusion poor customer support
Internet,billing complaint - comcast digital phoneinternet service
Internet,comcast xfinity internet service
Internet,cant cancel internet on sundays
Internet,internet speeds
Other,comcast - hbo - ps3
Billing,over charged for service never received
Other,comcast
Billing,billing issues
Internet,internet speeds not as advertised bandwith not available as advertised
Billing,comcast xfinity deceptive billing practices
Other,xfiniti account
Billing,excessive early termination fees due immediately after 10 years of service
Grievance,comcast complaint
Internet,comcast forcing me to purchase cable tv only want internet
Other,installed on 426 still not working
Billing,comcast xfinity billing issue
Other,xfinity security system
Billing,billing overcharging issues by comcast
Internet,internet speed cut in half with no notification
Internet,internet access
Network,data caps
Network,comcast data cap
Grievance,complaint 67455
Internet,bad interner speeds and access
